end_type,primary_category,category,scheme,Benchmark,Riskometer-Scheme,Riskometer-Benchmark,Nav-Regular,Nav-Direct,Return-Regular,Return-Direct,Return-BenchMark,period-return-bench-direct,Daily AUM,regular_isin,direct_isin,data_plan_id
Close Ended,Equity,Multi Cap,ICICI Prudential Multicap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,758.5900|data-nav-reg=758.5900|data-prev-nav-reg=772.8400,842.9500|data-nav-dir=842.9500|data-prev-nav-dir=858.7300,20.70|data-1y=18.43|data-3y=18.64|data-5y=20.70|data-10y=14.83|data-sl=15.36,21.77|data-1y=19.41|data-3y=19.65|data-5y=21.77|data-10y=15.91|data-sl=17.30,22.79|data-1y=16.57|data-3y=16.86|data-5y=22.79|data-10y=15.42|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.54,"13,963.79|data-order=13,963.79",INF109K01613,INF109K014O9,86
Close Ended,Equity,Multi Cap,Invesco India Multicap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,134.6200|data-nav-reg=134.6200|data-prev-nav-reg=137.4700,159.1300|data-nav-dir=159.1300|data-prev-nav-dir=162.4900,23.00|data-1y=27.34|data-3y=17.80|data-5y=23.00|data-10y=14.91|data-sl=16.72,24.62|data-1y=28.93|data-3y=19.35|data-5y=24.62|data-10y=16.61|data-sl=19.94,22.79|data-1y=16.57|data-3y=16.86|data-5y=22.79|data-10y=15.42|data-sl=14.30,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.54,"3,956.95|data-order=3,956.95",INF205K01DN2,INF205K01MS2,6675
Close Ended,Equity,Multi Cap,ITI Multi Cap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,23.2423|data-nav-reg=23.2423|data-prev-nav-reg=23.7810,26.0386|data-nav-dir=26.0386|data-prev-nav-dir=26.6383,15.82|data-1y=16.93|data-3y=18.72|data-5y=15.82|data-10y=NA|data-sl=16.09,18.16|data-1y=18.91|data-3y=20.99|data-5y=18.16|data-10y=NA|data-sl=18.45,22.79|data-1y=16.57|data-3y=16.86|data-5y=22.79|data-10y=NA|data-sl=21.01,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=21.01,"1,379.72|data-order=1,379.72",INF00XX01135,INF00XX01168,39829
Close Ended,Equity,Multi Cap,Kotak Multicap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,18.7800|data-nav-reg=18.7800|data-prev-nav-reg=19.2410,19.7400|data-nav-dir=19.7400|data-prev-nav-dir=20.2220,--|data-1y=23.60|data-3y=23.99|data-5y=NA|data-10y=NA|data-sl=21.23,--|data-1y=25.19|data-3y=25.86|data-5y=NA|data-10y=NA|data-sl=23.09,--|data-1y=16.57|data-3y=16.86|data-5y=NA|data-10y=NA|data-sl=16.48,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.48,"15,991.24|data-order=15,991.24",INF174KA1HT7,INF174KA1HV3,41705
Close Ended,Equity,Multi Cap,LIC MF Multi Cap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,17.1011|data-nav-reg=17.1011|data-prev-nav-reg=17.4853,17.7466|data-nav-dir=17.7466|data-prev-nav-dir=18.1431,--|data-1y=30.25|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=27.82,--|data-1y=32.40|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=30.00,--|data-1y=16.57|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=23.56,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=23.56,"1,503.53|data-order=1,503.53",INF767K01RH3,INF767K01RK7,42627
Close Ended,Equity,Multi Cap,Mahindra Manulife Multi Cap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,34.2915|data-nav-reg=34.2915|data-prev-nav-reg=35.2035,39.5000|data-nav-dir=39.5000|data-prev-nav-dir=40.5460,24.18|data-1y=19.00|data-3y=17.48|data-5y=24.18|data-10y=NA|data-sl=17.45,26.28|data-1y=20.76|data-3y=19.41|data-5y=26.28|data-10y=NA|data-sl=19.63,22.79|data-1y=16.57|data-3y=16.86|data-5y=22.79|data-10y=NA|data-sl=15.74,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=15.74,"4,945.65|data-order=4,945.65",INF174V01317,INF174V01366,33984
Close Ended,Equity,Multi Cap,Mirae Asset Multicap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,13.4990|data-nav-reg=13.4990|data-prev-nav-reg=13.8330,13.7850|data-nav-dir=13.7850|data-prev-nav-dir=14.1240,--|data-1y=13.58|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=24.27,--|data-1y=15.27|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=26.17,--|data-1y=16.57|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=26.97,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=26.97,"3,427.35|data-order=3,427.35",INF769K01KH4,INF769K01KK8,43576
Close Ended,Equity,Multi Cap,Nippon India Multi Cap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,286.6702|data-nav-reg=286.6702|data-prev-nav-reg=292.4334,313.2275|data-nav-dir=313.2275|data-prev-nav-dir=319.5030,24.35|data-1y=22.44|data-3y=24.55|data-5y=24.35|data-10y=14.69|data-sl=18.48,25.26|data-1y=23.43|data-3y=25.51|data-5y=25.26|data-10y=15.53|data-sl=17.52,22.79|data-1y=16.57|data-3y=16.86|data-5y=22.79|data-10y=15.42|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.54,"39,177.98|data-order=39,177.98",INF204K01455,INF204K01XD4,2640
Close Ended,Equity,Multi Cap,Quant Active Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,631.7916|data-nav-reg=631.7916|data-prev-nav-reg=650.4940,684.3959|data-nav-dir=684.3959|data-prev-nav-dir=704.5886,28.08|data-1y=8.81|data-3y=14.49|data-5y=28.08|data-10y=18.40|data-sl=19.02,29.78|data-1y=9.99|data-3y=15.90|data-5y=29.78|data-10y=19.30|data-sl=20.37,22.79|data-1y=16.57|data-3y=16.86|data-5y=22.79|data-10y=15.42|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.54,"10,455.25|data-order=10,455.25",INF966L01234,INF966L01614,952
Close Ended,Equity,Multi Cap,SBI Multicap Fund,Nifty 500 Multicap 50:25:25 Total Return Index,Very High,Very High,16.4179|data-nav-reg=16.4179|data-prev-nav-reg=16.7692,16.8680|data-nav-dir=16.8680|data-prev-nav-dir=17.2277,--|data-1y=23.72|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=19.11,--|data-1y=24.73|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=20.25,--|data-1y=16.57|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=22.92,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=22.92,"19,125.40|data-order=19,125.40",INF200KA15E8,INF200KA19E0,42106
