end_type,primary_category,category,scheme,Benchmark,Riskometer-Scheme,Riskometer-Benchmark,Nav-Regular,Nav-Direct,Return-Regular,Return-Direct,Return-BenchMark,period-return-bench-direct,Daily AUM,regular_isin,direct_isin,data_plan_id
Open Ended,Other,Index Funds/ ETFs,Axis BSE Sensex ETF,BSE Sensex Total Return Index,Very High,Very High,79.3782|data-nav-reg=79.3782|data-prev-nav-reg=80.6588,NA|data-nav-dir=NA|data-prev-nav-dir=NA,--|data-1y=9.34|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=19.50,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,--|data-1y=9.51|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=20.07,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,125.90|data-order=125.90,INF846K010Q0,,43285
Open Ended,Other,Index Funds/ ETFs,Axis CRISIL IBX 50:50 Gilt Plus SDL Jun 2028 Index Fund,CRISIL IBX 50:50 Gilt Plus SDL Index - June 2028,Low to Moderate,,11.5318|data-nav-reg=11.5318|data-prev-nav-reg=11.5239,11.5763|data-nav-dir=11.5763|data-prev-nav-dir=11.5681,--|data-1y=8.24|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.57,--|data-1y=8.43|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.78,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,73.63|data-order=73.63,,,43025
Open Ended,Other,Index Funds/ ETFs,Axis CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund,CRISIL IBX 50:50 Gilt Plus SDL Index - Sep 2027,Low to Moderate,,11.5190|data-nav-reg=11.5190|data-prev-nav-reg=11.5088,11.5651|data-nav-dir=11.5651|data-prev-nav-dir=11.5545,--|data-1y=7.94|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.91,--|data-1y=8.14|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=8.14,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,32.21|data-order=32.21,INF846K015O4,INF846K013O9,43144
Open Ended,Other,Index Funds/ ETFs,Axis CRISIL IBX 70:30 CPSE Plus SDL April 2025 Index Fund,CRISIL IBX 70:30 CPSE Plus SDL Index - April 2025,Low,,11.7070|data-nav-reg=11.7070|data-prev-nav-reg=11.7009,11.7570|data-nav-dir=11.7570|data-prev-nav-dir=11.7507,--|data-1y=7.41|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=5.50,--|data-1y=7.55|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=5.66,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,456.98|data-order=456.98,INF846K018F6,INF846K015F2,41998
Open Ended,Other,Index Funds/ ETFs,Axis CRISIL IBX SDL May 2027 Index Fund,CRISIL IBX SDL Index - May 2027,Low to Moderate,,11.7469|data-nav-reg=11.7469|data-prev-nav-reg=11.7358,11.7958|data-nav-dir=11.7958|data-prev-nav-dir=11.7844,--|data-1y=8.25|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=5.77,--|data-1y=8.40|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=5.92,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,"2,228.52|data-order=2,228.52",INF846K010H9,INF846K017G6,42094
Open Ended,Other,Index Funds/ ETFs,Axis Gold ETF,Domestic Price of Gold,High,High,64.9014|data-nav-reg=64.9014|data-prev-nav-reg=65.2612,NA|data-nav-dir=NA|data-prev-nav-dir=NA,16.05|data-1y=21.11|data-3y=16.05|data-5y=12.50|data-10y=9.59|data-sl=8.64,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,16.97|data-1y=22.90|data-3y=16.97|data-5y=13.34|data-10y=10.79|data-sl=9.87,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,"1,204.62|data-order=1,204.62",INF846K01W80,,11669
Open Ended,Other,Index Funds/ ETFs,Axis Nifty 100 Index Fund,NIFTY 100 Total Return Index,Very High,Very High,20.6671|data-nav-reg=20.6671|data-prev-nav-reg=21.0704,21.5286|data-nav-dir=21.5286|data-prev-nav-dir=21.9475,10.82|data-1y=11.15|data-3y=10.82|data-5y=15.11|data-10y=NA|data-sl=14.91,11.66|data-1y=11.80|data-3y=11.66|data-5y=16.00|data-10y=NA|data-sl=15.81,11.92|data-1y=12.18|data-3y=11.92|data-5y=16.33|data-10y=NA|data-sl=16.14,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.14,"1,687.47|data-order=1,687.47",INF846K01S52,INF846K01S29,40296
Open Ended,Other,Index Funds/ ETFs,Axis Nifty 50 ETF,NIFTY 50 Total Return Index,Very High,Very High,256.2784|data-nav-reg=256.2784|data-prev-nav-reg=260.4957,NA|data-nav-dir=NA|data-prev-nav-dir=NA,11.22|data-1y=9.89|data-3y=11.22|data-5y=15.67|data-10y=NA|data-sl=13.85,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,11.28|data-1y=10.00|data-3y=11.28|data-5y=15.82|data-10y=NA|data-sl=14.06,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,673.30|data-order=673.30,INF846K01W98,,34322
Open Ended,Other,Index Funds/ ETFs,Axis Nifty 50 Index Fund,NIFTY 50 Total Return Index,Very High,Very High,13.9771|data-nav-reg=13.9771|data-prev-nav-reg=14.2063,14.0979|data-nav-dir=14.0979|data-prev-nav-dir=14.3287,10.72|data-1y=9.48|data-3y=10.72|data-5y=NA|data-10y=NA|data-sl=11.42,11.02|data-1y=9.74|data-3y=11.02|data-5y=NA|data-10y=NA|data-sl=11.73,11.28|data-1y=10.00|data-3y=11.28|data-5y=NA|data-10y=NA|data-sl=12.07,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=12.07,585.16|data-order=585.16,INF846K016D5,INF846K013D2,41858
Open Ended,Other,Index Funds/ ETFs,Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,Low to Moderate,Low to Moderate,12.3008|data-nav-reg=12.3008|data-prev-nav-reg=12.2942,NA|data-nav-dir=NA|data-prev-nav-dir=NA,5.71|data-1y=7.70|data-3y=5.71|data-5y=NA|data-10y=NA|data-sl=5.56,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,5.83|data-1y=7.90|data-3y=5.83|data-5y=NA|data-10y=NA|data-sl=5.72,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,"1,201.67|data-order=1,201.67",INF846K010D8,INF846K017C5,41480
Open Ended,Other,Index Funds/ ETFs,Axis NIFTY Bank ETF,NIFTY Bank Total Return Index,Very High,Very High,510.1116|data-nav-reg=510.1116|data-prev-nav-reg=521.0190,NA|data-nav-dir=NA|data-prev-nav-dir=NA,10.71|data-1y=4.35|data-3y=10.71|data-5y=NA|data-10y=NA|data-sl=16.03,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,10.94|data-1y=4.56|data-3y=10.94|data-5y=NA|data-10y=NA|data-sl=18.06,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,323.83|data-order=323.83,INF846K01X63,,41162
Open Ended,Other,Index Funds/ ETFs,Axis NIFTY Healthcare ETF,NIFTY Healthcare Total Return Index.,Very High,Very High,150.0220|data-nav-reg=150.0220|data-prev-nav-reg=150.9529,NA|data-nav-dir=NA|data-prev-nav-dir=NA,19.53|data-1y=35.48|data-3y=19.53|data-5y=NA|data-10y=NA|data-sl=17.35,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,19.92|data-1y=35.96|data-3y=19.92|data-5y=NA|data-10y=NA|data-sl=18.10,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,20.32|data-order=20.32,INF846K01Z12,,41481
Open Ended,Other,Index Funds/ ETFs,Axis NIFTY India Consumption ETF,NIFTY India Consumption Total Return Index,Very High,Very High,116.6341|data-nav-reg=116.6341|data-prev-nav-reg=119.0440,NA|data-nav-dir=NA|data-prev-nav-dir=NA,17.54|data-1y=19.45|data-3y=17.54|data-5y=NA|data-10y=NA|data-sl=15.13,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,18.03|data-1y=20.05|data-3y=18.03|data-5y=NA|data-10y=NA|data-sl=15.90,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,14.05|data-order=14.05,INF846K016C7,,41685
Open Ended,Other,Index Funds/ ETFs,Axis NIFTY IT ETF,NIFTY IT Total Return Index,Very High,Very High,465.3539|data-nav-reg=465.3539|data-prev-nav-reg=465.9137,NA|data-nav-dir=NA|data-prev-nav-dir=NA,6.55|data-1y=27.18|data-3y=6.55|data-5y=NA|data-10y=NA|data-sl=16.87,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,6.79|data-1y=27.61|data-3y=6.79|data-5y=NA|data-10y=NA|data-sl=17.87,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,181.52|data-order=181.52,,,41382
Open Ended,Other,Index Funds/ ETFs,Axis Nifty IT Index Fund,NIFTY IT Total Return Index,Very High,Very High,14.7427|data-nav-reg=14.7427|data-prev-nav-reg=14.7613,14.8855|data-nav-dir=14.8855|data-prev-nav-dir=14.9034,--|data-1y=26.24|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=29.87,--|data-1y=27.03|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=30.72,--|data-1y=27.61|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=28.48,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=28.48,142.75|data-order=142.75,INF846K010S6,INF846K017R3,43612
Open Ended,Other,Index Funds/ ETFs,Axis Nifty Midcap 50 Index Fund,NIFTY Midcap 50 Total Return Index,Very High,Very High,18.6890|data-nav-reg=18.6890|data-prev-nav-reg=19.2022,19.0728|data-nav-dir=19.0728|data-prev-nav-dir=19.5953,--|data-1y=16.16|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=25.22,--|data-1y=16.97|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=26.14,--|data-1y=17.49|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=28.48,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=28.48,419.78|data-order=419.78,INF846K012I3,INF846K019H0,42156
Open Ended,Other,Index Funds/ ETFs,Axis Nifty Next 50 Index Fund,NIFTY Next 50 Total Return Index,Very High,Very High,16.1547|data-nav-reg=16.1547|data-prev-nav-reg=16.6836,16.4445|data-nav-dir=16.4445|data-prev-nav-dir=16.9818,--|data-1y=22.76|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=17.70,--|data-1y=23.51|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=18.42,--|data-1y=24.14|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=19.48,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=19.48,298.20|data-order=298.20,INF846K012F9,INF846K019E7,41944
Open Ended,Other,Index Funds/ ETFs,Axis Nifty SDL September 2026 Debt Index Fund,Nifty SDL Sep 2026 Index,Low to Moderate,Low to Moderate,11.6398|data-nav-reg=11.6398|data-prev-nav-reg=11.6283,11.6734|data-nav-dir=11.6734|data-prev-nav-dir=11.6617,--|data-1y=7.96|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.39,--|data-1y=8.09|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.54,--|data-1y=8.35|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.81,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=7.81,75.80|data-order=75.80,INF846K012L7,INF846K018K6,42737
Open Ended,Other,Index Funds/ ETFs,Axis Nifty Smallcap 50 Index Fund,NIFTY Smallcap 50 Total Return Index,Very High,Very High,18.2049|data-nav-reg=18.2049|data-prev-nav-reg=18.7793,18.5822|data-nav-dir=18.5822|data-prev-nav-dir=19.1673,--|data-1y=18.86|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=23.58,--|data-1y=19.67|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=24.48,--|data-1y=20.68|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=25.79,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=25.79,452.67|data-order=452.67,INF846K016H6,INF846K013H3,42116
Open Ended,Other,Index Funds/ ETFs,Axis Silver ETF,Domestic Price of Silver,Very High,Very High,89.1275|data-nav-reg=89.1275|data-prev-nav-reg=88.8551,NA|data-nav-dir=NA|data-prev-nav-dir=NA,--|data-1y=22.25|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=21.85,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,--|data-1y=23.49|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=21.50,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,155.59|data-order=155.59,INF846K011K1,,42522
Open Ended,Other,Index Funds/ ETFs,Bandhan BSE Sensex ETF,BSE Sensex Total Return Index,Very High,Very High,836.7077|data-nav-reg=836.7077|data-prev-nav-reg=850.2075,NA|data-nav-dir=NA|data-prev-nav-dir=NA,10.31|data-1y=9.03|data-3y=10.31|data-5y=14.76|data-10y=NA|data-sl=14.49,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,10.76|data-1y=9.51|data-3y=10.76|data-5y=15.27|data-10y=NA|data-sl=14.54,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,1.18|data-order=1.18,INF194KA1T91,,32902
Open Ended,Other,Index Funds/ ETFs,Bandhan CRISIL IBX 90:10 SDL Plus Gilt- April 2032 Index Fund,CRISIL IBX 90:10 SDL Plus Gilt Index - April 2032,Moderate,,11.8732|data-nav-reg=11.8732|data-prev-nav-reg=11.8728,11.9153|data-nav-dir=11.9153|data-prev-nav-dir=11.9147,--|data-1y=10.44|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=8.49,--|data-1y=10.64|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=8.67,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,547.95|data-order=547.95,,,42789
Open Ended,Other,Index Funds/ ETFs,Bandhan CRISIL IBX 90:10 SDL Plus Gilt- November 2026 Index Fund,CRISIL IBX 90:10 SDL Plus Gilt Index - Nov 2026,Low to Moderate,,11.6290|data-nav-reg=11.6290|data-prev-nav-reg=11.6174,11.6917|data-nav-dir=11.6917|data-prev-nav-dir=11.6798,--|data-1y=7.83|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.31,--|data-1y=8.10|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.58,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,113.78|data-order=113.78,,,42785
Open Ended,Other,Index Funds/ ETFs,Bandhan CRISIL IBX 90:10 SDL Plus Gilt-September 2027 Index Fund,CRISIL IBX 90:10 SDL Plus Gilt Index - Sep 2027,Low to Moderate,,11.6507|data-nav-reg=11.6507|data-prev-nav-reg=11.6451,11.7127|data-nav-dir=11.7127|data-prev-nav-dir=11.7068,--|data-1y=8.06|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.47,--|data-1y=8.33|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.74,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,150.59|data-order=150.59,,,42818
Open Ended,Other,Index Funds/ ETFs,Bandhan Crisil IBX Gilt April 2026 Index Fund,CRISIL IBX Gilt Index - April 2026,Low to Moderate,Low to Moderate,11.6919|data-nav-reg=11.6919|data-prev-nav-reg=11.6885,11.7572|data-nav-dir=11.7572|data-prev-nav-dir=11.7535,--|data-1y=7.09|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.31,--|data-1y=7.36|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.58,--|data-1y=7.53|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.71,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=7.71,471.02|data-order=471.02,INF194KB1EK8,INF194KB1EH4,42667
Open Ended,Other,Index Funds/ ETFs,Bandhan CRISIL IBX Gilt April 2028 Index Fund,CRISIL IBX Gilt Index - April 2028,Low to Moderate,Low to Moderate,12.3887|data-nav-reg=12.3887|data-prev-nav-reg=12.3765,12.5067|data-nav-dir=12.5067|data-prev-nav-dir=12.4940,5.85|data-1y=7.81|data-3y=5.85|data-5y=NA|data-10y=NA|data-sl=5.81,6.12|data-1y=8.08|data-3y=6.12|data-5y=NA|data-10y=NA|data-sl=6.07,6.27|data-1y=8.26|data-3y=6.27|data-5y=NA|data-10y=NA|data-sl=6.23,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=6.23,"4,693.98|data-order=4,693.98",INF194KB1BS7,INF194KB1BV1,41370
Open Ended,Other,Index Funds/ ETFs,Bandhan Crisil IBX Gilt April 2032 Index Fund,CRISIL IBX Gilt Index - April 2032,Moderate,,11.7103|data-nav-reg=11.7103|data-prev-nav-reg=11.6906,11.7656|data-nav-dir=11.7656|data-prev-nav-dir=11.7456,--|data-1y=9.50|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=8.70,--|data-1y=9.79|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=8.97,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,433.43|data-order=433.43,INF194KB1FI9,INF194KB1FF5,43148
Open Ended,Other,Index Funds/ ETFs,Bandhan CRISIL IBX Gilt June 2027 Index Fund,CRISIL IBX Gilt Index - June 2027,Low to Moderate,Low to Moderate,12.3371|data-nav-reg=12.3371|data-prev-nav-reg=12.3226,12.4547|data-nav-dir=12.4547|data-prev-nav-dir=12.4397,5.67|data-1y=7.71|data-3y=5.67|data-5y=NA|data-10y=NA|data-sl=5.69,5.94|data-1y=7.98|data-3y=5.94|data-5y=NA|data-10y=NA|data-sl=5.96,6.11|data-1y=8.15|data-3y=6.11|data-5y=NA|data-10y=NA|data-sl=6.11,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=6.11,"7,035.92|data-order=7,035.92",INF194KB1BL2,INF194KB1BP3,41374
Open Ended,Other,Index Funds/ ETFs,Bandhan Nifty 100 Index Fund,NIFTY 100 Total Return Index,Very High,Very High,14.2078|data-nav-reg=14.2078|data-prev-nav-reg=14.4852,14.4083|data-nav-dir=14.4083|data-prev-nav-dir=14.6890,--|data-1y=11.37|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=13.02,--|data-1y=11.92|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=13.58,--|data-1y=12.18|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=16.05,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=16.05,152.26|data-order=152.26,INF194KB1CO4,INF194KB1CR7,42074
Open Ended,Other,Index Funds/ ETFs,Bandhan Nifty100 Low Volatility 30 Index Fund,NIFTY 100 Low Volatility 30 Total Return Index,Very High,Very High,14.7730|data-nav-reg=14.7730|data-prev-nav-reg=14.9549,15.0224|data-nav-dir=15.0224|data-prev-nav-dir=15.2065,--|data-1y=11.46|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=18.89,--|data-1y=12.23|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=19.78,--|data-1y=12.99|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=20.73,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=20.73,"1,395.24|data-order=1,395.24",INF194KB1DY1,INF194KB1DV7,42542
Open Ended,Other,Index Funds/ ETFs,Bandhan Nifty200 Momentum 30 Index Fund,Nifty 200 Momentum 30 Total Return Index,Very High,Very High,16.4084|data-nav-reg=16.4084|data-prev-nav-reg=16.7693,16.6446|data-nav-dir=16.6446|data-prev-nav-dir=17.0098,--|data-1y=16.07|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=23.48,--|data-1y=16.82|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=24.23,--|data-1y=17.83|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=25.49,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=25.49,135.47|data-order=135.47,INF194KB1DS3,INF194KB1DP9,42494
Open Ended,Other,Index Funds/ ETFs,Bandhan Nifty 50 ETF,NIFTY 50 Total Return Index,Very High,Very High,256.0289|data-nav-reg=256.0289|data-prev-nav-reg=260.2432,NA|data-nav-dir=NA|data-prev-nav-dir=NA,11.17|data-1y=9.87|data-3y=11.17|data-5y=15.59|data-10y=NA|data-sl=14.33,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,11.28|data-1y=10.00|data-3y=11.28|data-5y=15.82|data-10y=NA|data-sl=14.22,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,26.70|data-order=26.70,INF194KA1U07,,32903
Open Ended,Other,Index Funds/ ETFs,Bandhan Nifty 50 Index Fund,NIFTY 50 Total Return Index,Very High,Very High,50.5494|data-nav-reg=50.5494|data-prev-nav-reg=51.3840,51.9092|data-nav-dir=51.9092|data-prev-nav-dir=52.7641,10.64|data-1y=9.12|data-3y=10.64|data-5y=15.21|data-10y=12.06|data-sl=11.65,11.13|data-1y=9.66|data-3y=11.13|data-5y=15.68|data-10y=12.34|data-sl=13.16,11.28|data-1y=10.00|data-3y=11.28|data-5y=15.82|data-10y=12.61|data-sl=12.09,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=13.51,"1,653.74|data-order=1,653.74",INF194K01920,INF194K012A8,11154
Open Ended,Other,Index Funds/ ETFs,Bandhan Nifty Alpha 50 Index Fund,Nifty Alpha 50 Total Return Index,Very High,Very High,14.4206|data-nav-reg=14.4206|data-prev-nav-reg=14.9833,14.5344|data-nav-dir=14.5344|data-prev-nav-dir=15.1007,--|data-1y=23.82|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=37.04,--|data-1y=24.66|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=37.97,--|data-1y=35.10|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=46.39,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=46.39,347.45|data-order=347.45,INF194KB1GX6,INF194KB1HA2,43862
Open Ended,Other,Index Funds/ ETFs,Bandhan Nifty IT Index Fund,NIFTY IT Total Return Index,Very High,Very High,14.3178|data-nav-reg=14.3178|data-prev-nav-reg=14.3360,14.4435|data-nav-dir=14.4435|data-prev-nav-dir=14.4610,--|data-1y=26.37|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=30.37,--|data-1y=27.20|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=31.21,--|data-1y=27.61|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=30.81,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=30.81,29.27|data-order=29.27,INF194KB1GH9,INF194KB1GK3,43726
Open Ended,Other,Index Funds/ ETFs,Bandhan Nifty Smallcap 250 Index Fund,NIFTY Smallcap 250 Total Return Index,Very High,Very High,12.5750|data-nav-reg=12.5750|data-prev-nav-reg=12.9487,12.6666|data-nav-dir=12.6666|data-prev-nav-dir=13.0422,--|data-1y=20.59|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=24.55,--|data-1y=21.43|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=25.41,--|data-1y=21.99|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=26.07,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=26.07,46.42|data-order=46.42,INF194KB1HD6,INF194KB1HG9,43956
Open Ended,Other,Index Funds/ ETFs,Baroda BNP Paribas Gold ETF,Domestic Price of Gold,,High,75.6533|data-nav-reg=75.6533|data-prev-nav-reg=76.0678,NA|data-nav-dir=NA|data-prev-nav-dir=NA,--|data-1y=21.53|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=21.20,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,--|data-1y=22.90|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=23.98,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,74.74|data-order=74.74,INF251K01SU9,,43930
Open Ended,Other,Index Funds/ ETFs,Baroda BNP Paribas Nifty SDL December 2026 Index Fund,NIFTY SDL Dec 2026 Index,,,11.4729|data-nav-reg=11.4729|data-prev-nav-reg=11.4608,11.5403|data-nav-dir=11.5403|data-prev-nav-dir=11.5278,--|data-1y=7.93|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.30,--|data-1y=8.26|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.62,--|data-1y=8.57|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=7.86,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=7.86,114.46|data-order=114.46,INF251K01RI6,INF251K01RL0,43044
Open Ended,Other,Index Funds/ ETFs,Baroda BNP Paribas NIFTY SDL December 2028 Index Fund,Nifty SDL Dec 2028 Index,,,11.4950|data-nav-reg=11.4950|data-prev-nav-reg=11.4817,11.5571|data-nav-dir=11.5571|data-prev-nav-dir=11.5434,--|data-1y=8.53|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=8.09,--|data-1y=8.86|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=8.41,--|data-1y=8.98|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=8.68,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.68,31.84|data-order=31.84,INF251K01RO4,INF251K01RR7,43303
Open Ended,Other,Index Funds/ ETFs,BHARAT 22 ETF,BSE Bharat 22 Total Return Index,Very High,Very High,105.9134|data-nav-reg=105.9134|data-prev-nav-reg=109.0543,NA|data-nav-dir=NA|data-prev-nav-dir=NA,31.97|data-1y=14.40|data-3y=31.97|data-5y=25.43|data-10y=NA|data-sl=15.65,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,32.38|data-1y=14.80|data-3y=32.38|data-5y=25.75|data-10y=NA|data-sl=15.92,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,"18,080.01|data-order=18,080.01",INF109KB15Y7,,34740
Open Ended,Other,Index Funds/ ETFs,BHARAT Bond ETF - April 2025,NIFTY Bharat Bond Index Series - April 2025,Low to Moderate,Low to Moderate,"1,267.4331|data-nav-reg=1,267.4331|data-prev-nav-reg=1,266.7267",NA|data-nav-dir=NA|data-prev-nav-dir=NA,5.77|data-1y=7.80|data-3y=5.77|data-5y=NA|data-10y=NA|data-sl=5.45,--|data-1y=NA|data-3y=NA|data-5y=NA|data-10y=NA|data-sl=NA,5.82|data-1y=7.70|data-3y=5.82|data-5y=NA|data-10y=NA|data-sl=5.53,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=NA,"10,165.67|data-order=10,165.67",,,41059
