end_type,primary_category,category,scheme,Benchmark,Riskometer-Scheme,Riskometer-Benchmark,Nav-Regular,Nav-Direct,Return-Regular,Return-Direct,Return-BenchMark,period-return-bench-direct,Daily AUM
Close Ended,Debt,Corporate Bond,Union Corporate Bond Fund|data-plan_id=36078,CRISIL Corporate Debt A-II Index,Moderate,Low to Moderate,14.5929|data-nav-reg=14.5929|data-prev-nav-reg=14.5867,14.9045|data-nav-dir=14.9045|data-prev-nav-dir=14.8981,7.98|data-1y=7.98|data-3y=5.58|data-5y=6.00|data-10y=NA|data-sl=5.88,8.32|data-1y=8.32|data-3y=5.91|data-5y=6.32|data-10y=NA|data-sl=6.22,7.72|data-1y=7.72|data-3y=6.08|data-5y=6.55|data-10y=NA|data-sl=7.29,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=7.29,253.57|data-order=253.57
Close Ended,Debt,Corporate Bond,UTI Corporate Bond Fund|data-plan_id=37138,Nifty Corporate Bond Index A-II,Moderate,Moderate,15.6582|data-nav-reg=15.6582|data-prev-nav-reg=15.6538,15.9759|data-nav-dir=15.9759|data-prev-nav-dir=15.9712,7.88|data-1y=7.88|data-3y=6.02|data-5y=6.43|data-10y=NA|data-sl=7.24,8.20|data-1y=8.20|data-3y=6.35|data-5y=6.76|data-10y=NA|data-sl=7.58,7.58|data-1y=7.58|data-3y=5.97|data-5y=6.36|data-10y=NA|data-sl=7.03,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=7.03,"4,697.14^|data-order=4,697.14"
Close Ended,Debt,Credit Risk,,,,,,,,,,,
Close Ended,Debt,Credit Risk,Aditya Birla Sun Life Credit Risk Fund|data-plan_id=29944,CRISIL Credit Risk Debt B-II Index,High,Moderately High,20.5763|data-nav-reg=20.5763|data-prev-nav-reg=20.5697,22.4525|data-nav-dir=22.4525|data-prev-nav-dir=22.4448,12.12|data-1y=12.12|data-3y=8.67|data-5y=8.31|data-10y=NA|data-sl=7.70,13.11|data-1y=13.11|data-3y=9.64|data-5y=9.24|data-10y=NA|data-sl=8.67,8.06|data-1y=8.06|data-3y=7.11|data-5y=7.59|data-10y=NA|data-sl=8.13,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.13,919.40^|data-order=919.40
Close Ended,Debt,Credit Risk,Axis Credit Risk Fund|data-plan_id=27226,CRISIL Credit Risk Debt B-II Index,Moderately High,Moderately High,20.4804|data-nav-reg=20.4804|data-prev-nav-reg=20.4733,22.8188|data-nav-dir=22.8188|data-prev-nav-dir=22.8105,8.05|data-1y=8.05|data-3y=6.35|data-5y=6.61|data-10y=6.82|data-sl=7.08,8.84|data-1y=8.84|data-3y=7.21|data-5y=7.56|data-10y=7.95|data-sl=8.19,8.06|data-1y=8.06|data-3y=7.11|data-5y=7.59|data-10y=8.20|data-sl=8.34,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.34,413.25^|data-order=413.25
Close Ended,Debt,Credit Risk,Bandhan Credit Risk Fund|data-plan_id=33486,NIFTY Credit Risk Bond Index B-II,Moderately High,Moderately High,15.8047|data-nav-reg=15.8047|data-prev-nav-reg=15.8002,17.0703|data-nav-dir=17.0703|data-prev-nav-dir=17.0650,7.30|data-1y=7.30|data-3y=5.37|data-5y=5.47|data-10y=NA|data-sl=6.01,8.38|data-1y=8.38|data-3y=6.39|data-5y=6.48|data-10y=NA|data-sl=7.06,7.84|data-1y=7.84|data-3y=7.61|data-5y=8.00|data-10y=NA|data-sl=7.99,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=7.99,291.63^|data-order=291.63
Close Ended,Debt,Credit Risk,Bank of India Credit Risk Fund|data-plan_id=29479,CRISIL Credit Risk Debt B-II Index,Moderately High,Moderately High,11.8027|data-nav-reg=11.8027|data-prev-nav-reg=11.8012,12.0683|data-nav-dir=12.0683|data-prev-nav-dir=12.0667,5.97|data-1y=5.97|data-3y=39.58|data-5y=10.56|data-10y=NA|data-sl=1.67,6.33|data-1y=6.33|data-3y=39.98|data-5y=10.88|data-10y=NA|data-sl=1.90,8.06|data-1y=8.06|data-3y=7.11|data-5y=7.59|data-10y=NA|data-sl=8.18,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.18,114.45^|data-order=114.45
Close Ended,Debt,Credit Risk,Baroda BNP Paribas Credit Risk Fund|data-plan_id=29235,CRISIL Credit Risk Debt B-II Index,Moderately High,Moderately High,21.2489|data-nav-reg=21.2489|data-prev-nav-reg=21.2388,23.3023|data-nav-dir=23.3023|data-prev-nav-dir=23.2908,8.22|data-1y=8.22|data-3y=6.71|data-5y=8.18|data-10y=NA|data-sl=7.87,9.10|data-1y=9.10|data-3y=7.57|data-5y=9.02|data-10y=NA|data-sl=8.87,8.06|data-1y=8.06|data-3y=7.11|data-5y=7.59|data-10y=NA|data-sl=8.17,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.17,169.21^^|data-order=169.21
Close Ended,Debt,Credit Risk,DSP Credit Risk Fund|data-plan_id=1723,CRISIL Credit Risk Debt B-II Index,Moderately High,Moderately High,41.9955|data-nav-reg=41.9955|data-prev-nav-reg=41.9836,45.6652|data-nav-dir=45.6652|data-prev-nav-dir=45.6513,7.79|data-1y=7.79|data-3y=10.83|data-5y=7.94|data-10y=6.76|data-sl=6.85,8.61|data-1y=8.61|data-3y=11.72|data-5y=8.80|data-10y=7.54|data-sl=7.95,8.06|data-1y=8.06|data-3y=7.11|data-5y=7.59|data-10y=8.20|data-sl=8.45,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.60,189.02^|data-order=189.02
Close Ended,Debt,Credit Risk,HDFC Credit Risk Debt Fund|data-plan_id=25074,NIFTY Credit Risk Bond Index B-II,High,Moderately High,23.0552|data-nav-reg=23.0552|data-prev-nav-reg=23.0508,24.8397|data-nav-dir=24.8397|data-prev-nav-dir=24.8345,8.13|data-1y=8.13|data-3y=6.18|data-5y=7.22|data-10y=7.67|data-sl=8.05,8.79|data-1y=8.79|data-3y=6.84|data-5y=7.84|data-10y=8.42|data-sl=8.80,7.84|data-1y=7.84|data-3y=7.61|data-5y=8.00|data-10y=8.32|data-sl=8.52,|data-1y=|data-3y=|data-5y=|data-10y=|data-sl=8.52,"7,347.62^|data-order=7,347.62"
